	included_in_Bacdive	Physiology_and_metabolism_oxygen_tolerance_oxygen_tolerance	Morphology_cell_morphology_gram_stain	Physiology_and_metabolism_antibiotic_resistance_is_resistant	Morphology_cell_morphology_motility
ASV148	yes	anaerobe	unknown	unknown	unknown
ASV149	unknown	unknown	unknown	unknown	unknown
ASV150	unknown	unknown	unknown	unknown	unknown
ASV151	no	unknown	unknown	unknown	unknown
ASV152	unknown	unknown	unknown	unknown	unknown
ASV153	yes	unknown	negative	unknown	no
ASV154	yes	anaerobe	unknown	unknown	unknown
ASV155	unknown	unknown	unknown	unknown	unknown
ASV156	unknown	unknown	unknown	unknown	unknown
ASV157	unknown	unknown	unknown	unknown	unknown
ASV158	unknown	unknown	unknown	unknown	unknown
ASV159	unknown	unknown	unknown	unknown	unknown
ASV160	yes	unknown	unknown	unknown	unknown
ASV161	unknown	unknown	unknown	unknown	unknown
ASV162	unknown	unknown	unknown	unknown	unknown
ASV163	unknown	unknown	unknown	unknown	unknown
ASV164	unknown	unknown	unknown	unknown	unknown
ASV165	unknown	unknown	unknown	unknown	unknown
ASV166	unknown	unknown	unknown	unknown	unknown
ASV167	unknown	unknown	unknown	unknown	unknown
ASV168	unknown	unknown	unknown	unknown	unknown
ASV169	unknown	unknown	unknown	unknown	unknown
ASV170	unknown	unknown	unknown	unknown	unknown
ASV171	unknown	unknown	unknown	unknown	unknown
ASV172	unknown	unknown	unknown	unknown	unknown
ASV173	unknown	unknown	unknown	unknown	unknown
ASV174	unknown	unknown	unknown	unknown	unknown
ASV175	unknown	unknown	unknown	unknown	unknown
ASV176	unknown	unknown	unknown	unknown	unknown
ASV177	unknown	unknown	unknown	unknown	unknown
ASV178	unknown	unknown	unknown	unknown	unknown
ASV179	unknown	unknown	unknown	unknown	unknown
ASV180	unknown	unknown	unknown	unknown	unknown
ASV181	unknown	unknown	unknown	unknown	unknown
ASV182	unknown	unknown	unknown	unknown	unknown
ASV183	yes	unknown	negative	unknown	no
ASV184	unknown	unknown	unknown	unknown	unknown
ASV185	unknown	unknown	unknown	unknown	unknown
ASV186	unknown	unknown	unknown	unknown	unknown
ASV187	unknown	unknown	unknown	unknown	unknown
ASV188	unknown	unknown	unknown	unknown	unknown
ASV189	yes	anaerobe	unknown	unknown	unknown
ASV190	unknown	unknown	unknown	unknown	unknown
ASV191	unknown	unknown	unknown	unknown	unknown
ASV192	unknown	unknown	unknown	unknown	unknown
ASV193	unknown	unknown	unknown	unknown	unknown
ASV194	unknown	unknown	unknown	unknown	unknown
ASV195	unknown	unknown	unknown	unknown	unknown
ASV196	unknown	unknown	unknown	unknown	unknown
ASV197	no	unknown	unknown	unknown	unknown
ASV198	unknown	unknown	unknown	unknown	unknown
ASV199	unknown	unknown	unknown	unknown	unknown
ASV200	no	unknown	unknown	unknown	unknown
ASV201	unknown	unknown	unknown	unknown	unknown
ASV202	unknown	unknown	unknown	unknown	unknown
ASV203	unknown	unknown	unknown	unknown	unknown
ASV204	unknown	unknown	unknown	unknown	unknown
ASV205	unknown	unknown	unknown	unknown	unknown
ASV206	unknown	unknown	unknown	unknown	unknown
ASV207	yes	mixed	unknown	unknown	unknown
ASV208	unknown	unknown	unknown	unknown	unknown
ASV209	yes	unknown	unknown	unknown	unknown
ASV210	unknown	unknown	unknown	unknown	unknown
ASV211	unknown	unknown	unknown	unknown	unknown
ASV212	unknown	unknown	unknown	unknown	unknown
ASV213	unknown	unknown	unknown	unknown	unknown
ASV214	yes	mixed	unknown	unknown	unknown
ASV215	unknown	unknown	unknown	unknown	unknown
ASV216	yes	unknown	negative	unknown	no
ASV217	unknown	unknown	unknown	unknown	unknown
ASV218	unknown	unknown	unknown	unknown	unknown
ASV219	unknown	unknown	unknown	unknown	unknown
ASV220	unknown	unknown	unknown	unknown	unknown
ASV221	unknown	unknown	unknown	unknown	unknown
ASV222	unknown	unknown	unknown	unknown	unknown
ASV223	unknown	unknown	unknown	unknown	unknown
ASV224	unknown	unknown	unknown	unknown	unknown
ASV225	no	unknown	unknown	unknown	unknown
ASV226	unknown	unknown	unknown	unknown	unknown
ASV227	unknown	unknown	unknown	unknown	unknown
ASV228	yes	anaerobe	unknown	unknown	unknown
ASV229	unknown	unknown	unknown	unknown	unknown
ASV230	unknown	unknown	unknown	unknown	unknown
ASV231	unknown	unknown	unknown	unknown	unknown
ASV232	unknown	unknown	unknown	unknown	unknown
ASV233	yes	anaerobe	unknown	unknown	unknown
ASV234	unknown	unknown	unknown	unknown	unknown
ASV235	unknown	unknown	unknown	unknown	unknown
ASV236	unknown	unknown	unknown	unknown	unknown
ASV237	unknown	unknown	unknown	unknown	unknown
ASV238	unknown	unknown	unknown	unknown	unknown
ASV239	unknown	unknown	unknown	unknown	unknown
ASV240	unknown	unknown	unknown	unknown	unknown
ASV241	yes	anaerobe	unknown	unknown	unknown
ASV242	unknown	unknown	unknown	unknown	unknown
ASV243	yes	anaerobe	unknown	unknown	unknown
ASV244	unknown	unknown	unknown	unknown	unknown
ASV245	unknown	unknown	unknown	unknown	unknown
ASV246	unknown	unknown	unknown	unknown	unknown
ASV247	yes	anaerobe	unknown	unknown	unknown
ASV248	unknown	unknown	unknown	unknown	unknown
ASV249	yes	anaerobe	unknown	unknown	unknown
ASV250	unknown	unknown	unknown	unknown	unknown
ASV251	unknown	unknown	unknown	unknown	unknown
ASV252	unknown	unknown	unknown	unknown	unknown
ASV253	unknown	unknown	unknown	unknown	unknown
ASV254	yes	anaerobe	unknown	unknown	unknown
ASV255	unknown	unknown	unknown	unknown	unknown
ASV256	unknown	unknown	unknown	unknown	unknown
ASV257	unknown	unknown	unknown	unknown	unknown
ASV258	unknown	unknown	unknown	unknown	unknown
ASV259	unknown	unknown	unknown	unknown	unknown
ASV260	unknown	unknown	unknown	unknown	unknown
ASV261	unknown	unknown	unknown	unknown	unknown
ASV262	unknown	unknown	unknown	unknown	unknown
ASV263	unknown	unknown	unknown	unknown	unknown
ASV264	unknown	unknown	unknown	unknown	unknown
ASV265	unknown	unknown	unknown	unknown	unknown
ASV266	unknown	unknown	unknown	unknown	unknown
ASV267	unknown	unknown	unknown	unknown	unknown
ASV268	unknown	unknown	unknown	unknown	unknown
ASV269	unknown	unknown	unknown	unknown	unknown
ASV270	unknown	unknown	unknown	unknown	unknown
ASV271	unknown	unknown	unknown	unknown	unknown
ASV272	yes	anaerobe	unknown	unknown	unknown
ASV273	unknown	unknown	unknown	unknown	unknown
ASV274	unknown	unknown	unknown	unknown	unknown
ASV275	unknown	unknown	unknown	unknown	unknown
ASV276	unknown	unknown	unknown	unknown	unknown
ASV277	unknown	unknown	unknown	unknown	unknown
ASV278	yes	mixed	unknown	unknown	unknown
ASV279	yes	unknown	negative	unknown	no
ASV280	unknown	unknown	unknown	unknown	unknown
ASV281	unknown	unknown	unknown	unknown	unknown
ASV282	yes	anaerobe	unknown	unknown	unknown
ASV283	unknown	unknown	unknown	unknown	unknown
ASV284	unknown	unknown	unknown	unknown	unknown
ASV285	unknown	unknown	unknown	unknown	unknown
ASV286	unknown	unknown	unknown	unknown	unknown
ASV287	unknown	unknown	unknown	unknown	unknown
ASV288	unknown	unknown	unknown	unknown	unknown
ASV289	unknown	unknown	unknown	unknown	unknown
ASV290	unknown	unknown	unknown	unknown	unknown
ASV291	unknown	unknown	unknown	unknown	unknown
ASV292	yes	anaerobe	unknown	unknown	unknown
ASV293	yes	aerobe	negative	unknown	no
ASV294	unknown	unknown	unknown	unknown	unknown
ASV295	unknown	unknown	unknown	unknown	unknown
ASV296	yes	anaerobe	unknown	unknown	unknown
ASV297	unknown	unknown	unknown	unknown	unknown
ASV298	unknown	unknown	unknown	unknown	unknown
ASV299	unknown	unknown	unknown	unknown	unknown
ASV300	unknown	unknown	unknown	unknown	unknown
ASV301	yes	anaerobe	unknown	unknown	unknown
ASV302	unknown	unknown	unknown	unknown	unknown
ASV303	unknown	unknown	unknown	unknown	unknown
ASV304	unknown	unknown	unknown	unknown	unknown
ASV305	unknown	unknown	unknown	unknown	unknown
ASV306	unknown	unknown	unknown	unknown	unknown
ASV307	unknown	unknown	unknown	unknown	unknown
ASV308	unknown	unknown	unknown	unknown	unknown
ASV309	unknown	unknown	unknown	unknown	unknown
ASV310	yes	anaerobe	unknown	unknown	unknown
ASV311	yes	anaerobe	unknown	unknown	unknown
ASV312	unknown	unknown	unknown	unknown	unknown
ASV313	unknown	unknown	unknown	unknown	unknown
ASV314	yes	unknown	negative	unknown	no
ASV315	unknown	unknown	unknown	unknown	unknown
ASV316	yes	unknown	negative	unknown	no
ASV317	unknown	unknown	unknown	unknown	unknown
ASV318	yes	anaerobe	unknown	unknown	unknown
ASV319	yes	anaerobe	unknown	unknown	unknown
ASV320	unknown	unknown	unknown	unknown	unknown
ASV321	unknown	unknown	unknown	unknown	unknown
ASV322	unknown	unknown	unknown	unknown	unknown
ASV323	yes	unknown	unknown	unknown	unknown
ASV324	unknown	unknown	unknown	unknown	unknown
ASV325	unknown	unknown	unknown	unknown	unknown
ASV326	unknown	unknown	unknown	unknown	unknown
ASV327	unknown	unknown	unknown	unknown	unknown
ASV328	unknown	unknown	unknown	unknown	unknown
ASV329	yes	anaerobe	negative	unknown	no
ASV330	yes	unknown	unknown	unknown	unknown
ASV331	yes	anaerobe	unknown	unknown	unknown
ASV332	unknown	unknown	unknown	unknown	unknown
ASV333	unknown	unknown	unknown	unknown	unknown
ASV334	unknown	unknown	unknown	unknown	unknown
ASV335	unknown	unknown	unknown	unknown	unknown
ASV336	unknown	unknown	unknown	unknown	unknown
ASV337	unknown	unknown	unknown	unknown	unknown
ASV338	unknown	unknown	unknown	unknown	unknown
ASV339	yes	unknown	negative	unknown	no
ASV340	unknown	unknown	unknown	unknown	unknown
ASV341	unknown	unknown	unknown	unknown	unknown
ASV342	yes	anaerobe	unknown	unknown	unknown
ASV343	yes	unknown	negative	unknown	no
ASV344	yes	mixed	unknown	unknown	unknown
ASV345	unknown	unknown	unknown	unknown	unknown
ASV346	unknown	unknown	unknown	unknown	unknown
ASV347	unknown	unknown	unknown	unknown	unknown
ASV348	unknown	unknown	unknown	unknown	unknown
ASV349	unknown	unknown	unknown	unknown	unknown
ASV350	unknown	unknown	unknown	unknown	unknown
ASV351	unknown	unknown	unknown	unknown	unknown
ASV352	yes	unknown	unknown	unknown	unknown
ASV353	unknown	unknown	unknown	unknown	unknown
ASV354	unknown	unknown	unknown	unknown	unknown
ASV355	yes	anaerobe	negative	unknown	no
ASV356	unknown	unknown	unknown	unknown	unknown
ASV357	unknown	unknown	unknown	unknown	unknown
ASV358	unknown	unknown	unknown	unknown	unknown
ASV359	unknown	unknown	unknown	unknown	unknown
ASV360	yes	anaerobe	unknown	unknown	unknown
ASV361	unknown	unknown	unknown	unknown	unknown
ASV362	unknown	unknown	unknown	unknown	unknown
ASV363	unknown	unknown	unknown	unknown	unknown
ASV364	unknown	unknown	unknown	unknown	unknown
ASV365	yes	unknown	unknown	unknown	unknown
ASV366	unknown	unknown	unknown	unknown	unknown
ASV367	unknown	unknown	unknown	unknown	unknown
ASV368	unknown	unknown	unknown	unknown	unknown
ASV369	yes	anaerobe	unknown	unknown	unknown
ASV370	unknown	unknown	unknown	unknown	unknown
ASV371	yes	anaerobe	unknown	unknown	unknown
ASV372	unknown	unknown	unknown	unknown	unknown
ASV373	yes	anaerobe	negative	unknown	no
ASV374	unknown	unknown	unknown	unknown	unknown
ASV375	unknown	unknown	unknown	unknown	unknown
ASV376	unknown	unknown	unknown	unknown	unknown
ASV377	unknown	unknown	unknown	unknown	unknown
ASV378	unknown	unknown	unknown	unknown	unknown
ASV379	yes	unknown	unknown	unknown	unknown
ASV380	yes	unknown	unknown	unknown	unknown
ASV381	unknown	unknown	unknown	unknown	unknown
ASV382	unknown	unknown	unknown	unknown	unknown
ASV383	unknown	unknown	unknown	unknown	unknown
ASV384	unknown	unknown	unknown	unknown	unknown
ASV385	yes	anaerobe	unknown	unknown	unknown
ASV386	unknown	unknown	unknown	unknown	unknown
ASV387	no	unknown	unknown	unknown	unknown
ASV388	unknown	unknown	unknown	unknown	unknown
ASV389	unknown	unknown	unknown	unknown	unknown
ASV390	unknown	unknown	unknown	unknown	unknown
ASV391	unknown	unknown	unknown	unknown	unknown
ASV392	unknown	unknown	unknown	unknown	unknown
ASV393	unknown	unknown	unknown	unknown	unknown
ASV394	unknown	unknown	unknown	unknown	unknown
ASV395	unknown	unknown	unknown	unknown	unknown
ASV396	yes	anaerobe	unknown	unknown	unknown
ASV397	yes	unknown	unknown	unknown	unknown
ASV398	unknown	unknown	unknown	unknown	unknown
ASV399	unknown	unknown	unknown	unknown	unknown
ASV400	unknown	unknown	unknown	unknown	unknown
ASV401	unknown	unknown	unknown	unknown	unknown
ASV402	yes	anaerobe	unknown	unknown	unknown
ASV403	unknown	unknown	unknown	unknown	unknown
ASV404	unknown	unknown	unknown	unknown	unknown
ASV405	unknown	unknown	unknown	unknown	unknown
ASV406	unknown	unknown	unknown	unknown	unknown
ASV407	unknown	unknown	unknown	unknown	unknown
ASV408	unknown	unknown	unknown	unknown	unknown
ASV409	unknown	unknown	unknown	unknown	unknown
ASV410	unknown	unknown	unknown	unknown	unknown
ASV411	unknown	unknown	unknown	unknown	unknown
ASV412	unknown	unknown	unknown	unknown	unknown
ASV413	yes	unknown	unknown	unknown	unknown
ASV414	unknown	unknown	unknown	unknown	unknown
ASV415	yes	mixed	unknown	unknown	unknown
ASV416	unknown	unknown	unknown	unknown	unknown
ASV417	yes	unknown	negative	unknown	no
ASV418	unknown	unknown	unknown	unknown	unknown
ASV419	unknown	unknown	unknown	unknown	unknown
ASV420	unknown	unknown	unknown	unknown	unknown
ASV421	unknown	unknown	unknown	unknown	unknown
ASV422	unknown	unknown	unknown	unknown	unknown
ASV423	unknown	unknown	unknown	unknown	unknown
ASV424	unknown	unknown	unknown	unknown	unknown
ASV425	unknown	unknown	unknown	unknown	unknown
ASV426	unknown	unknown	unknown	unknown	unknown
ASV427	unknown	unknown	unknown	unknown	unknown
ASV428	unknown	unknown	unknown	unknown	unknown
ASV429	unknown	unknown	unknown	unknown	unknown
ASV430	unknown	unknown	unknown	unknown	unknown
ASV431	unknown	unknown	unknown	unknown	unknown
ASV432	unknown	unknown	unknown	unknown	unknown
ASV433	no	unknown	unknown	unknown	unknown
ASV434	unknown	unknown	unknown	unknown	unknown
ASV435	unknown	unknown	unknown	unknown	unknown
ASV436	unknown	unknown	unknown	unknown	unknown
ASV437	unknown	unknown	unknown	unknown	unknown
ASV438	unknown	unknown	unknown	unknown	unknown
ASV439	unknown	unknown	unknown	unknown	unknown
ASV440	unknown	unknown	unknown	unknown	unknown
ASV441	unknown	unknown	unknown	unknown	unknown
ASV442	unknown	unknown	unknown	unknown	unknown
ASV443	unknown	unknown	unknown	unknown	unknown
ASV444	unknown	unknown	unknown	unknown	unknown
ASV445	yes	unknown	unknown	unknown	unknown
ASV446	yes	anaerobe	unknown	unknown	unknown
ASV447	unknown	unknown	unknown	unknown	unknown
ASV448	unknown	unknown	unknown	unknown	unknown
ASV449	unknown	unknown	unknown	unknown	unknown
ASV450	unknown	unknown	unknown	unknown	unknown
ASV451	unknown	unknown	unknown	unknown	unknown
ASV452	unknown	unknown	unknown	unknown	unknown
ASV453	unknown	unknown	unknown	unknown	unknown
ASV454	unknown	unknown	unknown	unknown	unknown
ASV455	unknown	unknown	unknown	unknown	unknown
ASV456	unknown	unknown	unknown	unknown	unknown
ASV457	unknown	unknown	unknown	unknown	unknown
ASV458	unknown	unknown	unknown	unknown	unknown
ASV459	unknown	unknown	unknown	unknown	unknown
ASV460	unknown	unknown	unknown	unknown	unknown
ASV461	unknown	unknown	unknown	unknown	unknown
ASV462	unknown	unknown	unknown	unknown	unknown
ASV463	unknown	unknown	unknown	unknown	unknown
ASV464	yes	mixed	unknown	unknown	unknown
ASV465	yes	anaerobe	unknown	unknown	unknown
ASV466	unknown	unknown	unknown	unknown	unknown
ASV467	unknown	unknown	unknown	unknown	unknown
ASV468	unknown	unknown	unknown	unknown	unknown
ASV469	unknown	unknown	unknown	unknown	unknown
ASV470	unknown	unknown	unknown	unknown	unknown
ASV471	yes	mixed	unknown	unknown	unknown
ASV472	unknown	unknown	unknown	unknown	unknown
ASV473	unknown	unknown	unknown	unknown	unknown
ASV474	unknown	unknown	unknown	unknown	unknown
ASV475	yes	anaerobe	unknown	unknown	unknown
ASV476	unknown	unknown	unknown	unknown	unknown
ASV477	unknown	unknown	unknown	unknown	unknown
ASV478	unknown	unknown	unknown	unknown	unknown
ASV479	unknown	unknown	unknown	unknown	unknown
ASV480	unknown	unknown	unknown	unknown	unknown
ASV481	unknown	unknown	unknown	unknown	unknown
ASV482	unknown	unknown	unknown	unknown	unknown
ASV483	yes	anaerobe	unknown	unknown	unknown
ASV484	unknown	unknown	unknown	unknown	unknown
ASV485	yes	mixed	unknown	unknown	unknown
ASV486	unknown	unknown	unknown	unknown	unknown
ASV487	unknown	unknown	unknown	unknown	unknown
ASV488	unknown	unknown	unknown	unknown	unknown
ASV489	unknown	unknown	unknown	unknown	unknown
ASV490	unknown	unknown	unknown	unknown	unknown
ASV491	unknown	unknown	unknown	unknown	unknown
ASV492	unknown	unknown	unknown	unknown	unknown
ASV493	unknown	unknown	unknown	unknown	unknown
ASV494	unknown	unknown	unknown	unknown	unknown
ASV495	unknown	unknown	unknown	unknown	unknown
ASV496	unknown	unknown	unknown	unknown	unknown
ASV497	unknown	unknown	unknown	unknown	unknown
ASV498	unknown	unknown	unknown	unknown	unknown
ASV499	yes	mixed	unknown	unknown	unknown
ASV500	unknown	unknown	unknown	unknown	unknown
ASV501	unknown	unknown	unknown	unknown	unknown
ASV502	yes	unknown	unknown	unknown	unknown
ASV503	unknown	unknown	unknown	unknown	unknown
ASV504	unknown	unknown	unknown	unknown	unknown
ASV505	unknown	unknown	unknown	unknown	unknown
ASV506	unknown	unknown	unknown	unknown	unknown
ASV507	yes	anaerobe	unknown	unknown	unknown
ASV508	yes	anaerobe	unknown	unknown	unknown
ASV509	yes	mixed	unknown	unknown	unknown
ASV510	unknown	unknown	unknown	unknown	unknown
ASV511	unknown	unknown	unknown	unknown	unknown
ASV512	unknown	unknown	unknown	unknown	unknown
ASV513	unknown	unknown	unknown	unknown	unknown
ASV514	yes	anaerobe	unknown	unknown	unknown
ASV515	unknown	unknown	unknown	unknown	unknown
ASV516	unknown	unknown	unknown	unknown	unknown
ASV517	yes	unknown	unknown	unknown	unknown
ASV518	unknown	unknown	unknown	unknown	unknown
ASV519	yes	unknown	unknown	unknown	unknown
ASV520	unknown	unknown	unknown	unknown	unknown
ASV521	unknown	unknown	unknown	unknown	unknown
ASV522	unknown	unknown	unknown	unknown	unknown
ASV523	unknown	unknown	unknown	unknown	unknown
ASV524	yes	anaerobe	unknown	unknown	unknown
ASV525	unknown	unknown	unknown	unknown	unknown
ASV526	unknown	unknown	unknown	unknown	unknown
ASV527	unknown	unknown	unknown	unknown	unknown
ASV528	yes	anaerobe	unknown	unknown	unknown
ASV529	unknown	unknown	unknown	unknown	unknown
ASV530	unknown	unknown	unknown	unknown	unknown
ASV531	unknown	unknown	unknown	unknown	unknown
ASV532	unknown	unknown	unknown	unknown	unknown
ASV533	unknown	unknown	unknown	unknown	unknown
ASV534	unknown	unknown	unknown	unknown	unknown
ASV535	yes	anaerobe	negative	unknown	no
ASV536	unknown	unknown	unknown	unknown	unknown
ASV537	unknown	unknown	unknown	unknown	unknown
ASV538	unknown	unknown	unknown	unknown	unknown
ASV539	unknown	unknown	unknown	unknown	unknown
ASV540	unknown	unknown	unknown	unknown	unknown
ASV541	unknown	unknown	unknown	unknown	unknown
ASV542	yes	anaerobe	negative	unknown	no
ASV543	unknown	unknown	unknown	unknown	unknown
ASV544	unknown	unknown	unknown	unknown	unknown
ASV545	unknown	unknown	unknown	unknown	unknown
ASV546	unknown	unknown	unknown	unknown	unknown
ASV547	unknown	unknown	unknown	unknown	unknown
ASV548	unknown	unknown	unknown	unknown	unknown
ASV549	unknown	unknown	unknown	unknown	unknown
ASV550	yes	microaerophile	negative	yes	yes
ASV551	unknown	unknown	unknown	unknown	unknown
ASV552	unknown	unknown	unknown	unknown	unknown
ASV553	unknown	unknown	unknown	unknown	unknown
ASV554	unknown	unknown	unknown	unknown	unknown
ASV555	unknown	unknown	unknown	unknown	unknown
